Stage 1 of 3 (L): Inserted 18083 entries in 0.446768 seconds.
Stage 2 of 3 (B): Inserted 13503 entries in 35.1348 seconds.
Stage 3 of 3 (H): Inserted 10709 entries in 12.085 seconds.
"Saved Space","Number Of Duplicates","File Size","List of Names"
660303,1,660303,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column_middle.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column_middle.test
648429,1,648429,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ld_all_number_string_calendar_types.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ld_all_number_string_calendar_types.result
635102,1,635102,/usr/local/boost_old/include/boost/typeof/vector100.hpp;/usr/local/boost/include/boost/typeof/vector100.hpp
628991,1,628991,/usr/local/mysql-5.5.28-osx10.6-x86_64/share/fill_help_tables.sql;/usr/local/mysql-5.5.28-osx10.6-x86_64/share/fill_help_tables.sql
612814,1,612814,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_innodb.result
612005,1,612005,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_stm_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_stm_mixing_engines.result
610468,1,610468,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/myisam_views-big.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/myisam_views-big.result
606030,1,606030,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_mixed_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_mixed_mixing_engines.result
605631,1,605631,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_stm_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_stm_mixing_engines.result
595359,1,595359,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column.test
595162,1,595162,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/memory_views.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/memory_views.result
595059,1,595059,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/innodb_views.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/innodb_views.result
593410,1,593410,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_mixed_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_mixed_mixing_engines.result
579927,1,579927,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_myisam.result
577053,1,577053,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column_first.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ta_add_column_first.test
561752,1,561752,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_ujis_ucs2.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_ujis_ucs2.result
557314,1,557314,/usr/local/boost_old/include/boost/phoenix/core/detail/preprocessed/function_eval_50.hpp;/usr/local/boost/include/boost/phoenix/core/detail/preprocessed/function_eval_50.hpp
552728,1,552728,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_2_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_2_myisam.result
546639,1,546639,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/try_catch_eval_50.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/try_catch_eval_50.hpp
535834,1,535834,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/archive.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/archive.result
534169,1,534169,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column.result
517175,1,517175,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ld_all_number_string_calendar_types.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/ld_all_number_string_calendar_types.test
516921,1,516921,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column_first.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column_first.result
470520,1,470520,/usr/local/mysql-5.5.28-osx10.6-x86_64/share/errmsg-utf8.txt;/usr/local/mysql-5.5.28-osx10.6-x86_64/share/errmsg-utf8.txt
457710,1,457710,/usr/local/boost_old/include/boost/phoenix/scope/preprocessed/lambda_40.hpp;/usr/local/boost/include/boost/phoenix/scope/preprocessed/lambda_40.hpp
452360,1,452360,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/switch_30.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/switch_30.hpp
445505,1,445505,/usr/local/boost_old/include/boost/phoenix/core/detail/preprocessed/actor_operator_50.hpp;/usr/local/boost/include/boost/phoenix/core/detail/preprocessed/actor_operator_50.hpp
430089,1,430089,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_euckr.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_euckr.result
424530,1,424530,/usr/local/boost_old/include/boost/fusion/container/generation/detail/preprocessed/make_map50.hpp;/usr/local/boost/include/boost/fusion/container/generation/detail/preprocessed/make_map50.hpp
402579,3,134193,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/comment_column2.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/t/comment_column2.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/t/comment_column2.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/t/comment_column2.test
399390,1,399390,/usr/local/boost_old/include/boost/phoenix/bind/preprocessed/bind_member_function_50.hpp;/usr/local/boost/include/boost/phoenix/bind/preprocessed/bind_member_function_50.hpp
393504,1,393504,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/insert_number.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/insert_number.test
392352,1,392352,/usr/local/ActivePerl-5.16/lib/Devel/auto/Devel/NYTProf/NYTProf.bundle;/usr/local/ActivePerl-5.16/lib/auto/Devel/NYTProf/NYTProf.bundle
378580,1,378580,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_eucjpms.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_eucjpms.result
370877,1,370877,/usr/local/boost_old/include/boost/fusion/container/generation/detail/preprocessed/map_tie50.hpp;/usr/local/boost/include/boost/fusion/container/generation/detail/preprocessed/map_tie50.hpp
370368,1,370368,/usr/local/boost_old/include/boost/phoenix/scope/detail/preprocessed/make_locals_50.hpp;/usr/local/boost/include/boost/phoenix/scope/detail/preprocessed/make_locals_50.hpp
369721,1,369721,/usr/local/boost_old/include/boost/phoenix/operator/preprocessed/member_50.hpp;/usr/local/boost/include/boost/phoenix/operator/preprocessed/member_50.hpp
366089,1,366089,/usr/local/boost_old/include/boost/phoenix/core/detail/preprocessed/function_eval_40.hpp;/usr/local/boost/include/boost/phoenix/core/detail/preprocessed/function_eval_40.hpp
364285,1,364285,/usr/local/boost_old/include/boost/fusion/container/vector/detail/preprocessed/vector50.hpp;/usr/local/boost/include/boost/fusion/container/vector/detail/preprocessed/vector50.hpp
358279,1,358279,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/try_catch_eval_40.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/try_catch_eval_40.hpp
356342,1,356342,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_union.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_union.result
342597,1,342597,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/insert_calendar.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/t/insert_calendar.test
342330,1,342330,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_ujis.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/r/ctype_ujis.result
334892,1,334892,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/jp_comment_index.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/jp_comment_index.result
330301,1,330301,/usr/local/boost_old/include/boost/phoenix/statement/detail/preprocessed/catch_push_back_50.hpp;/usr/local/boost/include/boost/phoenix/statement/detail/preprocessed/catch_push_back_50.hpp
316460,1,316460,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_myisam.result
311852,1,311852,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/innodb_func_view.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/r/innodb_func_view.result
311251,1,311251,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_2_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_1_2_myisam.result
298680,1,298680,/usr/local/boost_old/include/boost/phoenix/core/detail/preprocessed/actor_operator_40.hpp;/usr/local/boost/include/boost/phoenix/core/detail/preprocessed/actor_operator_40.hpp
